item_id,source,split,label,text,image_path,width,height,mpp,dataset_key,staging_images_dir,raw_label,cluster_l1,cluster_l2,cluster_l3,cluster_l4,cluster_l5,cluster_l6,cluster_l7,semantic_text,title,metadata,_dataset_key,_orig_item_id,_label_code,source_dataset_key,label_code,triage_category,labels,title_original,semantic_text_original,body,x,y
CRC_VAL_HE_7K::train::ADI::ADI-TCGA-AEDALKHL,CRC-VAL-HE-7K,train,Adipose Tissue,"Histopathology image of Mesenchymal tissue from the Colorectal, representing Normal/Benign Adipose Tissue. Pattern: Adipocyte-rich stroma. Modifier: Not applicable. This node is organized under the ontology path: Biological Tissue > Mesenchymal > Colorectal > Normal/Benign > Adipose Tissue > Pattern: Adipocyte-rich stroma > Modifier: Not applicable.",/content/drive/MyDrive/mit/histopathology_mantis_20260115/data_staging/CRC_VAL_HE_7K/images/ADI/ADI-TCGA-AEDALKHL.tif,224,224,0.5,CRC_VAL_HE_7K,/content/drive/MyDrive/mit/histopathology_mantis_20260115/data_staging/CRC_VAL_HE_7K/images,nan,Biological Tissue,Mesenchymal,Colorectal,Normal/Benign,Adipose Tissue,Pattern: Adipocyte-rich stroma,Modifier: Not applicable,Histopathology image patch. Organ: Colorectal. Tissue class: Mesenchymal. Pathology state: Normal/Benign. Category: Adipose Tissue. Dataset: CRC-VAL-HE-7K. Item ID: CRC_VAL_HE_7K::train::ADI::ADI-TCGA-AEDALKHL.,Colorectal - Adipose Tissue (Normal/Benign) - ADI-TCGA-AEDALKHL,"{""dataset_key"": ""CRC_VAL_HE_7K"", ""raw_label"": ""nan"", ""label"": ""ADI"", ""image_path"": ""/content/drive/MyDrive/mit/histopathology_mantis_20260115/data_staging/CRC_VAL_HE_7K/images/ADI/ADI-TCGA-AEDALKHL.tif"", ""original_item_id"": ""CRC_VAL_HE_7K::train::ADI::ADI-TCGA-AEDALKHL""}",CRC_VAL_HE_7K,CRC_VAL_HE_7K::train::ADI::ADI-TCGA-AEDALKHL,ADI,CRC_VAL_HE_7K,ADI,Feature / Routine,"feature,routine,organ-colorectal,tissue-mesenchymal,state-normal-benign,label-adipose-tissue,dataset-crc-val-he-7k",Colorectal | Adipose Tissue,"Histopathology image of Mesenchymal tissue from the Colorectal, representing Normal/Benign Adipose Tissue. Pattern: Adipocyte-rich stroma. Modifier: Not applicable.",Histopathology image patch. Organ: Colorectal. Tissue class: Mesenchymal. Pathology state: Normal/Benign. Category: Adipose Tissue. Dataset: CRC-VAL-HE-7K. Item ID: CRC_VAL_HE_7K::train::ADI::ADI-TCGA-AEDALKHL.,0.0,0.0
CRC_VAL_HE_7K::train::ADI::ADI-TCGA-AGWWSHFM,CRC-VAL-HE-7K,train,Adipose Tissue,"Histopathology image of Mesenchymal tissue from the Colorectal, representing Normal/Benign Adipose Tissue. Pattern: Adipocyte-rich stroma. Modifier: Not applicable. This node is organized under the ontology path: Biological Tissue > Mesenchymal > Colorectal > Normal/Benign > Adipose Tissue > Pattern: Adipocyte-rich stroma > Modifier: Not applicable.",/content/drive/MyDrive/mit/histopathology_mantis_20260115/data_staging/CRC_VAL_HE_7K/images/ADI/ADI-TCGA-AGWWSHFM.tif,224,224,0.5,CRC_VAL_HE_7K,/content/drive/MyDrive/mit/histopathology_mantis_20260115/data_staging/CRC_VAL_HE_7K/images,nan,Biological Tissue,Mesenchymal,Colorectal,Normal/Benign,Adipose Tissue,Pattern: Adipocyte-rich stroma,Modifier: Not applicable,Histopathology image patch. Organ: Colorectal. Tissue class: Mesenchymal. Pathology state: Normal/Benign. Category: Adipose Tissue. Dataset: CRC-VAL-HE-7K. Item ID: CRC_VAL_HE_7K::train::ADI::ADI-TCGA-AGWWSHFM.,Colorectal - Adipose Tissue (Normal/Benign) - ADI-TCGA-AGWWSHFM,"{""dataset_key"": ""CRC_VAL_HE_7K"", ""raw_label"": ""nan"", ""label"": ""ADI"", ""image_path"": ""/content/drive/MyDrive/mit/histopathology_mantis_20260115/data_staging/CRC_VAL_HE_7K/images/ADI/ADI-TCGA-AGWWSHFM.tif"", ""original_item_id"": ""CRC_VAL_HE_7K::train::ADI::ADI-TCGA-AGWWSHFM""}",CRC_VAL_HE_7K,CRC_VAL_HE_7K::train::ADI::ADI-TCGA-AGWWSHFM,ADI,CRC_VAL_HE_7K,ADI,Feature / Routine,"feature,routine,organ-colorectal,tissue-mesenchymal,state-normal-benign,label-adipose-tissue,dataset-crc-val-he-7k",Colorectal | Adipose Tissue,"Histopathology image of Mesenchymal tissue from the Colorectal, representing Normal/Benign Adipose Tissue. Pattern: Adipocyte-rich stroma. Modifier: Not applicable.",Histopathology image patch. Organ: Colorectal. Tissue class: Mesenchymal. Pathology state: Normal/Benign. Category: Adipose Tissue. Dataset: CRC-VAL-HE-7K. Item ID: CRC_VAL_HE_7K::train::ADI::ADI-TCGA-AGWWSHFM.,0.0,0.0
CRC_VAL_HE_7K::train::ADI::ADI-TCGA-AIQQNFEC,CRC-VAL-HE-7K,train,Adipose Tissue,"Histopathology image of Mesenchymal tissue from the Colorectal, representing Normal/Benign Adipose Tissue. Pattern: Adipocyte-rich stroma. Modifier: Not applicable. This node is organized under the ontology path: Biological Tissue > Mesenchymal > Colorectal > Normal/Benign > Adipose Tissue > Pattern: Adipocyte-rich stroma > Modifier: Not applicable.",/content/drive/MyDrive/mit/histopathology_mantis_20260115/data_staging/CRC_VAL_HE_7K/images/ADI/ADI-TCGA-AIQQNFEC.tif,224,224,0.5,CRC_VAL_HE_7K,/content/drive/MyDrive/mit/histopathology_mantis_20260115/data_staging/CRC_VAL_HE_7K/images,nan,Biological Tissue,Mesenchymal,Colorectal,Normal/Benign,Adipose Tissue,Pattern: Adipocyte-rich stroma,Modifier: Not applicable,Histopathology image patch. Organ: Colorectal. Tissue class: Mesenchymal. Pathology state: Normal/Benign. Category: Adipose Tissue. Dataset: CRC-VAL-HE-7K. Item ID: CRC_VAL_HE_7K::train::ADI::ADI-TCGA-AIQQNFEC.,Colorectal - Adipose Tissue (Normal/Benign) - ADI-TCGA-AIQQNFEC,"{""dataset_key"": ""CRC_VAL_HE_7K"", ""raw_label"": ""nan"", ""label"": ""ADI"", ""image_path"": ""/content/drive/MyDrive/mit/histopathology_mantis_20260115/data_staging/CRC_VAL_HE_7K/images/ADI/ADI-TCGA-AIQQNFEC.tif"", ""original_item_id"": ""CRC_VAL_HE_7K::train::ADI::ADI-TCGA-AIQQNFEC""}",CRC_VAL_HE_7K,CRC_VAL_HE_7K::train::ADI::ADI-TCGA-AIQQNFEC,ADI,CRC_VAL_HE_7K,ADI,Feature / Routine,"feature,routine,organ-colorectal,tissue-mesenchymal,state-normal-benign,label-adipose-tissue,dataset-crc-val-he-7k",Colorectal | Adipose Tissue,"Histopathology image of Mesenchymal tissue from the Colorectal, representing Normal/Benign Adipose Tissue. Pattern: Adipocyte-rich stroma. Modifier: Not applicable.",Histopathology image patch. Organ: Colorectal. Tissue class: Mesenchymal. Pathology state: Normal/Benign. Category: Adipose Tissue. Dataset: CRC-VAL-HE-7K. Item ID: CRC_VAL_HE_7K::train::ADI::ADI-TCGA-AIQQNFEC.,0.0,0.0
CRC_VAL_HE_7K::train::ADI::ADI-TCGA-AKVLMQER,CRC-VAL-HE-7K,train,Adipose Tissue,"Histopathology image of Mesenchymal tissue from the Colorectal, representing Normal/Benign Adipose Tissue. Pattern: Adipocyte-rich stroma. Modifier: Not applicable. This node is organized under the ontology path: Biological Tissue > Mesenchymal > Colorectal > Normal/Benign > Adipose Tissue > Pattern: Adipocyte-rich stroma > Modifier: Not applicable.",/content/drive/MyDrive/mit/histopathology_mantis_20260115/data_staging/CRC_VAL_HE_7K/images/ADI/ADI-TCGA-AKVLMQER.tif,224,224,0.5,CRC_VAL_HE_7K,/content/drive/MyDrive/mit/histopathology_mantis_20260115/data_staging/CRC_VAL_HE_7K/images,nan,Biological Tissue,Mesenchymal,Colorectal,Normal/Benign,Adipose Tissue,Pattern: Adipocyte-rich stroma,Modifier: Not applicable,Histopathology image patch. Organ: Colorectal. Tissue class: Mesenchymal. Pathology state: Normal/Benign. Category: Adipose Tissue. Dataset: CRC-VAL-HE-7K. Item ID: CRC_VAL_HE_7K::train::ADI::ADI-TCGA-AKVLMQER.,Colorectal - Adipose Tissue (Normal/Benign) - ADI-TCGA-AKVLMQER,"{""dataset_key"": ""CRC_VAL_HE_7K"", ""raw_label"": ""nan"", ""label"": ""ADI"", ""image_path"": ""/content/drive/MyDrive/mit/histopathology_mantis_20260115/data_staging/CRC_VAL_HE_7K/images/ADI/ADI-TCGA-AKVLMQER.tif"", ""original_item_id"": ""CRC_VAL_HE_7K::train::ADI::ADI-TCGA-AKVLMQER""}",CRC_VAL_HE_7K,CRC_VAL_HE_7K::train::ADI::ADI-TCGA-AKVLMQER,ADI,CRC_VAL_HE_7K,ADI,Feature / Routine,"feature,routine,organ-colorectal,tissue-mesenchymal,state-normal-benign,label-adipose-tissue,dataset-crc-val-he-7k",Colorectal | Adipose Tissue,"Histopathology image of Mesenchymal tissue from the Colorectal, representing Normal/Benign Adipose Tissue. Pattern: Adipocyte-rich stroma. Modifier: Not applicable.",Histopathology image patch. Organ: Colorectal. Tissue class: Mesenchymal. Pathology state: Normal/Benign. Category: Adipose Tissue. Dataset: CRC-VAL-HE-7K. Item ID: CRC_VAL_HE_7K::train::ADI::ADI-TCGA-AKVLMQER.,0.0,0.0
CRC_VAL_HE_7K::train::ADI::ADI-TCGA-ASWYCRFC,CRC-VAL-HE-7K,train,Adipose Tissue,"Histopathology image of Mesenchymal tissue from the Colorectal, representing Normal/Benign Adipose Tissue. Pattern: Adipocyte-rich stroma. Modifier: Not applicable. This node is organized under the ontology path: Biological Tissue > Mesenchymal > Colorectal > Normal/Benign > Adipose Tissue > Pattern: Adipocyte-rich stroma > Modifier: Not applicable.",/content/drive/MyDrive/mit/histopathology_mantis_20260115/data_staging/CRC_VAL_HE_7K/images/ADI/ADI-TCGA-ASWYCRFC.tif,224,224,0.5,CRC_VAL_HE_7K,/content/drive/MyDrive/mit/histopathology_mantis_20260115/data_staging/CRC_VAL_HE_7K/images,nan,Biological Tissue,Mesenchymal,Colorectal,Normal/Benign,Adipose Tissue,Pattern: Adipocyte-rich stroma,Modifier: Not applicable,Histopathology image patch. Organ: Colorectal. Tissue class: Mesenchymal. Pathology state: Normal/Benign. Category: Adipose Tissue. Dataset: CRC-VAL-HE-7K. Item ID: CRC_VAL_HE_7K::train::ADI::ADI-TCGA-ASWYCRFC.,Colorectal - Adipose Tissue (Normal/Benign) - ADI-TCGA-ASWYCRFC,"{""dataset_key"": ""CRC_VAL_HE_7K"", ""raw_label"": ""nan"", ""label"": ""ADI"", ""image_path"": ""/content/drive/MyDrive/mit/histopathology_mantis_20260115/data_staging/CRC_VAL_HE_7K/images/ADI/ADI-TCGA-ASWYCRFC.tif"", ""original_item_id"": ""CRC_VAL_HE_7K::train::ADI::ADI-TCGA-ASWYCRFC""}",CRC_VAL_HE_7K,CRC_VAL_HE_7K::train::ADI::ADI-TCGA-ASWYCRFC,ADI,CRC_VAL_HE_7K,ADI,Feature / Routine,"feature,routine,organ-colorectal,tissue-mesenchymal,state-normal-benign,label-adipose-tissue,dataset-crc-val-he-7k",Colorectal | Adipose Tissue,"Histopathology image of Mesenchymal tissue from the Colorectal, representing Normal/Benign Adipose Tissue. Pattern: Adipocyte-rich stroma. Modifier: Not applicable.",Histopathology image patch. Organ: Colorectal. Tissue class: Mesenchymal. Pathology state: Normal/Benign. Category: Adipose Tissue. Dataset: CRC-VAL-HE-7K. Item ID: CRC_VAL_HE_7K::train::ADI::ADI-TCGA-ASWYCRFC.,0.0,0.0
CRC_VAL_HE_7K::train::ADI::ADI-TCGA-CIWDYDNF,CRC-VAL-HE-7K,train,Adipose Tissue,"Histopathology image of Mesenchymal tissue from the Colorectal, representing Normal/Benign Adipose Tissue. Pattern: Adipocyte-rich stroma. Modifier: Not applicable. This node is organized under the ontology path: Biological Tissue > Mesenchymal > Colorectal > Normal/Benign > Adipose Tissue > Pattern: Adipocyte-rich stroma > Modifier: Not applicable.",/content/drive/MyDrive/mit/histopathology_mantis_20260115/data_staging/CRC_VAL_HE_7K/images/ADI/ADI-TCGA-CIWDYDNF.tif,224,224,0.5,CRC_VAL_HE_7K,/content/drive/MyDrive/mit/histopathology_mantis_20260115/data_staging/CRC_VAL_HE_7K/images,nan,Biological Tissue,Mesenchymal,Colorectal,Normal/Benign,Adipose Tissue,Pattern: Adipocyte-rich stroma,Modifier: Not applicable,Histopathology image patch. Organ: Colorectal. Tissue class: Mesenchymal. Pathology state: Normal/Benign. Category: Adipose Tissue. Dataset: CRC-VAL-HE-7K. Item ID: CRC_VAL_HE_7K::train::ADI::ADI-TCGA-CIWDYDNF.,Colorectal - Adipose Tissue (Normal/Benign) - ADI-TCGA-CIWDYDNF,"{""dataset_key"": ""CRC_VAL_HE_7K"", ""raw_label"": ""nan"", ""label"": ""ADI"", ""image_path"": ""/content/drive/MyDrive/mit/histopathology_mantis_20260115/data_staging/CRC_VAL_HE_7K/images/ADI/ADI-TCGA-CIWDYDNF.tif"", ""original_item_id"": ""CRC_VAL_HE_7K::train::ADI::ADI-TCGA-CIWDYDNF""}",CRC_VAL_HE_7K,CRC_VAL_HE_7K::train::ADI::ADI-TCGA-CIWDYDNF,ADI,CRC_VAL_HE_7K,ADI,Feature / Routine,"feature,routine,organ-colorectal,tissue-mesenchymal,state-normal-benign,label-adipose-tissue,dataset-crc-val-he-7k",Colorectal | Adipose Tissue,"Histopathology image of Mesenchymal tissue from the Colorectal, representing Normal/Benign Adipose Tissue. Pattern: Adipocyte-rich stroma. Modifier: Not applicable.",Histopathology image patch. Organ: Colorectal. Tissue class: Mesenchymal. Pathology state: Normal/Benign. Category: Adipose Tissue. Dataset: CRC-VAL-HE-7K. Item ID: CRC_VAL_HE_7K::train::ADI::ADI-TCGA-CIWDYDNF.,0.0,0.0
CRC_VAL_HE_7K::train::ADI::ADI-TCGA-CWHWCNCI,CRC-VAL-HE-7K,train,Adipose Tissue,"Histopathology image of Mesenchymal tissue from the Colorectal, representing Normal/Benign Adipose Tissue. Pattern: Adipocyte-rich stroma. Modifier: Not applicable. This node is organized under the ontology path: Biological Tissue > Mesenchymal > Colorectal > Normal/Benign > Adipose Tissue > Pattern: Adipocyte-rich stroma > Modifier: Not applicable.",/content/drive/MyDrive/mit/histopathology_mantis_20260115/data_staging/CRC_VAL_HE_7K/images/ADI/ADI-TCGA-CWHWCNCI.tif,224,224,0.5,CRC_VAL_HE_7K,/content/drive/MyDrive/mit/histopathology_mantis_20260115/data_staging/CRC_VAL_HE_7K/images,nan,Biological Tissue,Mesenchymal,Colorectal,Normal/Benign,Adipose Tissue,Pattern: Adipocyte-rich stroma,Modifier: Not applicable,Histopathology image patch. Organ: Colorectal. Tissue class: Mesenchymal. Pathology state: Normal/Benign. Category: Adipose Tissue. Dataset: CRC-VAL-HE-7K. Item ID: CRC_VAL_HE_7K::train::ADI::ADI-TCGA-CWHWCNCI.,Colorectal - Adipose Tissue (Normal/Benign) - ADI-TCGA-CWHWCNCI,"{""dataset_key"": ""CRC_VAL_HE_7K"", ""raw_label"": ""nan"", ""label"": ""ADI"", ""image_path"": ""/content/drive/MyDrive/mit/histopathology_mantis_20260115/data_staging/CRC_VAL_HE_7K/images/ADI/ADI-TCGA-CWHWCNCI.tif"", ""original_item_id"": ""CRC_VAL_HE_7K::train::ADI::ADI-TCGA-CWHWCNCI""}",CRC_VAL_HE_7K,CRC_VAL_HE_7K::train::ADI::ADI-TCGA-CWHWCNCI,ADI,CRC_VAL_HE_7K,ADI,Feature / Routine,"feature,routine,organ-colorectal,tissue-mesenchymal,state-normal-benign,label-adipose-tissue,dataset-crc-val-he-7k",Colorectal | Adipose Tissue,"Histopathology image of Mesenchymal tissue from the Colorectal, representing Normal/Benign Adipose Tissue. Pattern: Adipocyte-rich stroma. Modifier: Not applicable.",Histopathology image patch. Organ: Colorectal. Tissue class: Mesenchymal. Pathology state: Normal/Benign. Category: Adipose Tissue. Dataset: CRC-VAL-HE-7K. Item ID: CRC_VAL_HE_7K::train::ADI::ADI-TCGA-CWHWCNCI.,0.0,0.0
CRC_VAL_HE_7K::train::ADI::ADI-TCGA-DFGTTFYR,CRC-VAL-HE-7K,train,Adipose Tissue,"Histopathology image of Mesenchymal tissue from the Colorectal, representing Normal/Benign Adipose Tissue. Pattern: Adipocyte-rich stroma. Modifier: Not applicable. This node is organized under the ontology path: Biological Tissue > Mesenchymal > Colorectal > Normal/Benign > Adipose Tissue > Pattern: Adipocyte-rich stroma > Modifier: Not applicable.",/content/drive/MyDrive/mit/histopathology_mantis_20260115/data_staging/CRC_VAL_HE_7K/images/ADI/ADI-TCGA-DFGTTFYR.tif,224,224,0.5,CRC_VAL_HE_7K,/content/drive/MyDrive/mit/histopathology_mantis_20260115/data_staging/CRC_VAL_HE_7K/images,nan,Biological Tissue,Mesenchymal,Colorectal,Normal/Benign,Adipose Tissue,Pattern: Adipocyte-rich stroma,Modifier: Not applicable,Histopathology image patch. Organ: Colorectal. Tissue class: Mesenchymal. Pathology state: Normal/Benign. Category: Adipose Tissue. Dataset: CRC-VAL-HE-7K. Item ID: CRC_VAL_HE_7K::train::ADI::ADI-TCGA-DFGTTFYR.,Colorectal - Adipose Tissue (Normal/Benign) - ADI-TCGA-DFGTTFYR,"{""dataset_key"": ""CRC_VAL_HE_7K"", ""raw_label"": ""nan"", ""label"": ""ADI"", ""image_path"": ""/content/drive/MyDrive/mit/histopathology_mantis_20260115/data_staging/CRC_VAL_HE_7K/images/ADI/ADI-TCGA-DFGTTFYR.tif"", ""original_item_id"": ""CRC_VAL_HE_7K::train::ADI::ADI-TCGA-DFGTTFYR""}",CRC_VAL_HE_7K,CRC_VAL_HE_7K::train::ADI::ADI-TCGA-DFGTTFYR,ADI,CRC_VAL_HE_7K,ADI,Feature / Routine,"feature,routine,organ-colorectal,tissue-mesenchymal,state-normal-benign,label-adipose-tissue,dataset-crc-val-he-7k",Colorectal | Adipose Tissue,"Histopathology image of Mesenchymal tissue from the Colorectal, representing Normal/Benign Adipose Tissue. Pattern: Adipocyte-rich stroma. Modifier: Not applicable.",Histopathology image patch. Organ: Colorectal. Tissue class: Mesenchymal. Pathology state: Normal/Benign. Category: Adipose Tissue. Dataset: CRC-VAL-HE-7K. Item ID: CRC_VAL_HE_7K::train::ADI::ADI-TCGA-DFGTTFYR.,0.0,0.0
CRC_VAL_HE_7K::train::ADI::ADI-TCGA-DYEVWMFC,CRC-VAL-HE-7K,train,Adipose Tissue,"Histopathology image of Mesenchymal tissue from the Colorectal, representing Normal/Benign Adipose Tissue. Pattern: Adipocyte-rich stroma. Modifier: Not applicable. This node is organized under the ontology path: Biological Tissue > Mesenchymal > Colorectal > Normal/Benign > Adipose Tissue > Pattern: Adipocyte-rich stroma > Modifier: Not applicable.",/content/drive/MyDrive/mit/histopathology_mantis_20260115/data_staging/CRC_VAL_HE_7K/images/ADI/ADI-TCGA-DYEVWMFC.tif,224,224,0.5,CRC_VAL_HE_7K,/content/drive/MyDrive/mit/histopathology_mantis_20260115/data_staging/CRC_VAL_HE_7K/images,nan,Biological Tissue,Mesenchymal,Colorectal,Normal/Benign,Adipose Tissue,Pattern: Adipocyte-rich stroma,Modifier: Not applicable,Histopathology image patch. Organ: Colorectal. Tissue class: Mesenchymal. Pathology state: Normal/Benign. Category: Adipose Tissue. Dataset: CRC-VAL-HE-7K. Item ID: CRC_VAL_HE_7K::train::ADI::ADI-TCGA-DYEVWMFC.,Colorectal - Adipose Tissue (Normal/Benign) - ADI-TCGA-DYEVWMFC,"{""dataset_key"": ""CRC_VAL_HE_7K"", ""raw_label"": ""nan"", ""label"": ""ADI"", ""image_path"": ""/content/drive/MyDrive/mit/histopathology_mantis_20260115/data_staging/CRC_VAL_HE_7K/images/ADI/ADI-TCGA-DYEVWMFC.tif"", ""original_item_id"": ""CRC_VAL_HE_7K::train::ADI::ADI-TCGA-DYEVWMFC""}",CRC_VAL_HE_7K,CRC_VAL_HE_7K::train::ADI::ADI-TCGA-DYEVWMFC,ADI,CRC_VAL_HE_7K,ADI,Feature / Routine,"feature,routine,organ-colorectal,tissue-mesenchymal,state-normal-benign,label-adipose-tissue,dataset-crc-val-he-7k",Colorectal | Adipose Tissue,"Histopathology image of Mesenchymal tissue from the Colorectal, representing Normal/Benign Adipose Tissue. Pattern: Adipocyte-rich stroma. Modifier: Not applicable.",Histopathology image patch. Organ: Colorectal. Tissue class: Mesenchymal. Pathology state: Normal/Benign. Category: Adipose Tissue. Dataset: CRC-VAL-HE-7K. Item ID: CRC_VAL_HE_7K::train::ADI::ADI-TCGA-DYEVWMFC.,0.0,0.0
CRC_VAL_HE_7K::train::ADI::ADI-TCGA-DYYTMTTH,CRC-VAL-HE-7K,train,Adipose Tissue,"Histopathology image of Mesenchymal tissue from the Colorectal, representing Normal/Benign Adipose Tissue. Pattern: Adipocyte-rich stroma. Modifier: Not applicable. This node is organized under the ontology path: Biological Tissue > Mesenchymal > Colorectal > Normal/Benign > Adipose Tissue > Pattern: Adipocyte-rich stroma > Modifier: Not applicable.",/content/drive/MyDrive/mit/histopathology_mantis_20260115/data_staging/CRC_VAL_HE_7K/images/ADI/ADI-TCGA-DYYTMTTH.tif,224,224,0.5,CRC_VAL_HE_7K,/content/drive/MyDrive/mit/histopathology_mantis_20260115/data_staging/CRC_VAL_HE_7K/images,nan,Biological Tissue,Mesenchymal,Colorectal,Normal/Benign,Adipose Tissue,Pattern: Adipocyte-rich stroma,Modifier: Not applicable,Histopathology image patch. Organ: Colorectal. Tissue class: Mesenchymal. Pathology state: Normal/Benign. Category: Adipose Tissue. Dataset: CRC-VAL-HE-7K. Item ID: CRC_VAL_HE_7K::train::ADI::ADI-TCGA-DYYTMTTH.,Colorectal - Adipose Tissue (Normal/Benign) - ADI-TCGA-DYYTMTTH,"{""dataset_key"": ""CRC_VAL_HE_7K"", ""raw_label"": ""nan"", ""label"": ""ADI"", ""image_path"": ""/content/drive/MyDrive/mit/histopathology_mantis_20260115/data_staging/CRC_VAL_HE_7K/images/ADI/ADI-TCGA-DYYTMTTH.tif"", ""original_item_id"": ""CRC_VAL_HE_7K::train::ADI::ADI-TCGA-DYYTMTTH""}",CRC_VAL_HE_7K,CRC_VAL_HE_7K::train::ADI::ADI-TCGA-DYYTMTTH,ADI,CRC_VAL_HE_7K,ADI,Feature / Routine,"feature,routine,organ-colorectal,tissue-mesenchymal,state-normal-benign,label-adipose-tissue,dataset-crc-val-he-7k",Colorectal | Adipose Tissue,"Histopathology image of Mesenchymal tissue from the Colorectal, representing Normal/Benign Adipose Tissue. Pattern: Adipocyte-rich stroma. Modifier: Not applicable.",Histopathology image patch. Organ: Colorectal. Tissue class: Mesenchymal. Pathology state: Normal/Benign. Category: Adipose Tissue. Dataset: CRC-VAL-HE-7K. Item ID: CRC_VAL_HE_7K::train::ADI::ADI-TCGA-DYYTMTTH.,0.0,0.0
